building_id,company_id,name,street,city,state,zip,latitude,longitude,square_footage_code,employees,is_headquarters,naics_code,discovered_at,source,is_served
001108125,001108125,Northern Light AR Gould Hospital,140 Academy St,Presque Isle,ME,04769-3102,46.675147,-67.998423,4.0,895.0,True,62211002.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
884612078,884612078,Mayo Clinic Health System,200 1st St SW,Rochester,MN,55905-0002,44.02249,-92.46728,3.0,26308.0,True,54161110.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
439815563,439815563,"American Renal Associates Holdings, Inc",500 Cummings Ctr,Beverly,MA,01915-6539,42.562185,-70.889594,3.0,,True,62149202.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
665092219,665092219,Intermountain St. George Regional Hospital,1380 E Medical Center Dr,Saint George,UT,84790-2122,37.097621,-113.55383,4.0,1615.0,True,62211002.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
007526346,007526346,Fresenius Medical Care North America,920 Winter St,Waltham,MA,02451-1519,42.404358,-71.276404,3.0,1001.0,True,62149202.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
402721021,402721021,Avera St. Luke's Hospital,305 S State St,Aberdeen,SD,57401-4590,45.46124,-98.47925,3.0,1125.0,True,62211002.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
788346672,788346672,University of Vermont Medical Center-1 South Prospect Street,1 S Prospect St,Burlington,VT,05401-3456,44.480285,-73.2014,3.0,,True,62111129.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
402405971,402405971,University of Michigan,500 S State St,Ann Arbor,MI,48109-1382,42.276218,-83.741266,2.0,23316.0,True,61131009.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
519299135,519299135,Intermountain Health,36 S State St,Salt Lake City,UT,84111-1470,40.76835,-111.888834,3.0,15.0,True,54161110.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
154259352,154259352,SSM Health Medical Group,10101 Woodfield Ln,Saint Louis,MO,63132-2937,38.677532,-90.401885,4.0,382.0,True,54161110.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
706615065,706615065,York General Hospital,2222 N Lincoln Ave,York,NE,68467-1095,40.88276,-97.59295,3.0,366.0,True,62211002.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
427009915,427009915,Cook Children's Medical Center,801 7th Ave,Fort Worth,TX,76104-2796,32.73645,-97.34191,4.0,3440.0,True,62211002.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
855873105,855873105,Sanford Medical Center-Bismarck,300 N 7th St,Bismarck,ND,58501-4439,46.808107,-100.782259,4.0,2861.0,True,62211002.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
718297356,718297356,Mercyhealth Hospital and Trauma Center-Janesville,1000 Mineral Point Ave,Janesville,WI,53548-2982,42.68684,-89.03241,3.0,,True,62211002.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
109493544,109493544,Starling Physicians,2110 Silas Deane Hwy,Rocky Hill,CT,06067-2353,41.671137,-72.64113,3.0,35.0,True,62111107.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
154247613,154247613,Cameron Regional Medical Center,1600 E Evergreen St,Cameron,MO,64429-2400,39.730272,-94.217938,3.0,,True,62211002.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
426639193,426639193,University of Florida Health,1600 SW Archer Rd,Gainesville,FL,32610-3001,29.638769,-82.344691,2.0,,True,54161110.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
928592427,928592427,Leon Medical Center Health Plans,8600 NW 41st St,Doral,FL,33166-6202,25.810973,-80.334595,4.0,143.0,True,62111129.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
426436160,426436160,Renown Regional Medical Center,1155 Mill St,Reno,NV,89502-1576,39.525568,-119.796287,3.0,,True,62211002.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
230152191,230152191,Health & Human Services Department,4900 N Lamar Blvd,Austin,TX,78751-2316,30.317682,-97.732647,4.0,17.0,True,92313004.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
439870118,439870118,University Of Rochester,300 Wilson Blvd,Rochester,NY,14642-0001,43.121986,-77.628057,4.0,,True,61131009.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
607530839,607530839,Intermountain Medical Center,5121 S Cottonwood St,Murray,UT,84107-5701,40.659587,-111.8918,4.0,3667.0,True,62211002.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
807289970,807289970,Medco Enterprises Inc,3530 Wayne Ave,Bronx,NY,10467-1511,40.881619,-73.877058,3.0,250.0,True,62311016.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
368849295,368849295,Fairview Health Services,2450 Riverside Ave,Minneapolis,MN,55454-1515,44.96642,-93.237316,2.0,3000.0,True,54161110.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
713373497,713373497,Willis Knighton Health System,2600 Greenwood Rd,Shreveport,LA,71103-3908,32.4847,-93.779473,4.0,,True,54161110.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
832501993,832501993,Aurora Health Care Administrative Office,750 W Virginia St,Milwaukee,WI,53204-1539,43.026701,-87.920991,7.0,650.0,True,54161110.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
886835255,886835255,DaVita Inc,,Denver,CO,80202-5117,,,8.0,120.0,True,62149202.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
824189823,824189823,Indiana University Health,340 W 10th St,Indianapolis,IN,46202-3082,39.781557,-86.165179,4.0,500.0,True,54161110.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
532771326,532771326,Wake Forest University,1834 Wake Forest Rd,Winston Salem,NC,27109-6054,36.135203,-80.278987,4.0,1700.0,True,61131009.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
403743846,403743846,Providence St. Joseph Hospital Orange,1100 W Stewart Dr,Orange,CA,92868-3891,33.78233,-117.86482,3.0,2385.0,True,62211002.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
889959516,889959516,PeaceHealth System Services,1115 SE 164th Ave,Vancouver,WA,98683-9324,45.613336,-122.50108,3.0,80.0,True,54161110.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
427847907,427847907,Beacon Health System,615 N Michigan St,South Bend,IN,46601-1033,41.683932,-86.251976,3.0,,True,54161110.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
426029009,426029009,Mercy Health-Tiffin Hospital,45 St Lawrence Dr,Tiffin,OH,44883-8310,41.103891,-83.21626,8.0,304.0,True,62211002.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
700249166,700249166,Dallas Renal Group,7999 W Virginia Dr,Dallas,TX,75237-3845,32.649609,-96.876606,3.0,6.0,True,62111129.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
612255752,612255752,Children's Healthcare of Atlanta Inc,1600 Tullie Cir NE,Atlanta,GA,30329-2303,33.830651,-84.331058,4.0,200.0,True,54161110.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
427009308,427009308,CentraCare-Rice Memorial Hospital,301 Becker Ave SW,Willmar,MN,56201-3395,45.12047,-95.04634,3.0,530.0,True,62211002.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
442955845,442955845,SSM Health,10101 Woodfield Ln,Saint Louis,MO,63132-2937,38.677532,-90.401885,4.0,100.0,True,54161110.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
713221717,713221717,SIU HealthCare,801 N Rutledge St,Springfield,IL,62702-4933,39.810357,-89.657697,3.0,1700.0,True,54161110.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
474854494,474854494,Upper Valley Medical Center,3130 N County Road 25A,Troy,OH,45373-1309,40.08544,-84.22289,4.0,1800.0,True,62211002.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
741086390,741086390,"Dialyze Direct, LLC",3297 State Route 66,Neptune City,NJ,07753-2763,40.229762,-74.065703,4.0,,True,62149202.0,2025-12-30T03:24:08.905371+00:00,dataaxle,False
